epoch,state,action,reason,old_lr,new_lr,reward,q_value,exploration_rate,dice_score,val_loss
7,oscillating,increase,rl_policy_increase,0.00012,0.000144,2.569120364351684,0.0630476609884028,0.19,0.7605937390640485,0.2730698635449596
8,oscillating,maintain,in_cooldown_4,0.000144,0.000144,2.718311220995317,0.0012477007869722834,0.1805,0.7652927990438256,0.2535882714353165
9,oscillating,maintain,in_cooldown_3,0.000144,0.000144,2.674343524170401,0.0012477007869722834,0.1805,0.8049723494114268,0.25599369420207696
10,oscillating,maintain,in_cooldown_2,0.000144,0.000144,2.4111712484078662,0.0012477007869722834,0.1805,0.8023573758481124,0.26356908257963313
11,oscillating,maintain,in_cooldown_1,0.000144,0.000144,2.7092638995793243,0.0012477007869722834,0.1805,0.8206656811318337,0.25179684526356133
12,oscillating,maintain,in_cooldown_0,0.000144,0.000144,2.632750139270538,0.0012477007869722834,0.1805,0.8316917083142851,0.24403484492773325
13,oscillating,increase,rl_policy_increase,0.000144,0.0001728,2.7301514661201924,1.607911255838757,0.1805,0.8461325138928385,0.2282401011049907
14,oscillating,maintain,in_cooldown_4,0.0001728,0.0001728,0.32072191737134614,0.0012477007869722834,0.171475,0.8224931049610046,0.23434820490193914
15,oscillating,maintain,in_cooldown_3,0.0001728,0.0001728,0.6786194005282673,0.0012477007869722834,0.171475,0.8357941605241836,0.22313679263070194
16,oscillating,maintain,in_cooldown_2,0.0001728,0.0001728,1.946346545472406,0.0012477007869722834,0.171475,0.8584272841976276,0.23981869992018331
17,oscillating,maintain,in_cooldown_1,0.0001728,0.0001728,2.999095720883137,0.0012477007869722834,0.171475,0.8753360146152357,0.1983634930406737
18,mixed,maintain,in_cooldown_0,0.0001728,0.0001728,1.8922914424440251,0.07040243733882709,0.171475,0.8797835694552529,0.2113581262162798
19,mixed,decrease,rl_policy_decrease,0.0001728,8.64e-05,2.646184864494358,0.05137011641850106,0.171475,0.8948590642822922,0.20427738718036365
20,mixed,maintain,in_cooldown_4,8.64e-05,8.64e-05,2.578637003689479,0.07040243733882709,0.16290124999999997,0.9078582284497778,0.20291326889515854
